"Year","Area.Description","Species","Pounds","Trips","Average.Price","Estimated.Value"
1984,"APALACHEE BAY","CRAB, BLUE (HARD)",259188,488,0.2,51601
1985,"APALACHEE BAY","CRAB, BLUE (HARD)",2694176,5332,0.35,942962
1986,"APALACHEE BAY","CRAB, BLUE (HARD)",3531712,6588,0.38,1342780
1987,"APALACHEE BAY","CRAB, BLUE (HARD)",3780698,7012,0.32,1209880
1988,"APALACHEE BAY","CRAB, BLUE (HARD)",2837628,5615,0.36,1021551
1989,"APALACHEE BAY","CRAB, BLUE (HARD)",2512559,6093,0.39,979912
1990,"APALACHEE BAY","CRAB, BLUE (HARD)",1712001,4391,0.48,822193
1991,"APALACHEE BAY","CRAB, BLUE (HARD)",1262596,3399,0.45,571058
1992,"APALACHEE BAY","CRAB, BLUE (HARD)",2071414,3784,0.43,884830
1993,"APALACHEE BAY","CRAB, BLUE (HARD)",1803479,4329,0.52,945575
1994,"APALACHEE BAY","CRAB, BLUE (HARD)",2128197,6219,0.58,1228695
1995,"APALACHEE BAY","CRAB, BLUE (HARD)",2384422,6712,0.58,1379527
1996,"APALACHEE BAY","CRAB, BLUE (HARD)",3915910,8298,0.51,1990930
1997,"APALACHEE BAY","CRAB, BLUE (HARD)",3645017,10373,0.6,2171866
1998,"APALACHEE BAY","CRAB, BLUE (HARD)",5050553,10228,0.48,2449125
1999,"APALACHEE BAY","CRAB, BLUE (HARD)",3757254,10187,0.55,2062801
2000,"APALACHEE BAY","CRAB, BLUE (HARD)",2179342,7118,0.69,1512296
2001,"APALACHEE BAY","CRAB, BLUE (HARD)",1583589,6002,0.85,1352474
2002,"APALACHEE BAY","CRAB, BLUE (HARD)",2078787,6728,0.77,1604870
2003,"APALACHEE BAY","CRAB, BLUE (HARD)",2655765,6222,0.79,2085852
2004,"APALACHEE BAY","CRAB, BLUE (HARD)",2777644,5416,0.72,2000372
2005,"APALACHEE BAY","CRAB, BLUE (HARD)",2777269,5183,0.77,2138666
2006,"APALACHEE BAY","CRAB, BLUE (HARD)",3291546,4427,0.65,2131668
2007,"APALACHEE BAY","CRAB, BLUE (HARD)",2488728,4071,0.78,1950741
2008,"APALACHEE BAY","CRAB, BLUE (HARD)",966522,2968,1.02,988047
2009,"APALACHEE BAY","CRAB, BLUE (HARD)",1510212,4150,1.03,1550360
2010,"APALACHEE BAY","CRAB, BLUE (HARD)",2193536,4770,0.97,2123056
2011,"APALACHEE BAY","CRAB, BLUE (HARD)",3301148,5732,0.98,3224176
2012,"APALACHEE BAY","CRAB, BLUE (HARD)",1860630,4722,1.07,1999365
2013,"APALACHEE BAY","CRAB, BLUE (HARD)",1910515,4949,1.24,2368968
2014,"APALACHEE BAY","CRAB, BLUE (HARD)",2231443,5536,1.47,3270860
2015,"APALACHEE BAY","CRAB, BLUE (HARD)",2273464,5785,1.52,3452724
2016,"APALACHEE BAY","CRAB, BLUE (HARD)",1574228,5086,1.49,2339701
1984,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",33770,85,0.2,6754
1985,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",463854,1301,0.35,162349
1986,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",315919,1313,0.38,120184
1987,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",493856,1790,0.32,158945
1988,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",485906,2232,0.36,174937
1989,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",762580,4114,0.39,297367
1990,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",529505,3059,0.48,254325
1991,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",644732,3488,0.45,290145
1992,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1158327,4784,0.42,488463
1993,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",962711,5003,0.55,529330
1994,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",995163,5942,0.63,625927
1995,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",813747,4669,0.72,582540
1996,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1429791,5083,0.62,880142
1997,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1599556,6586,0.72,1146739
1998,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",2063685,5993,0.55,1136207
1999,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1362721,5007,0.65,888352
2000,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",597456,3321,0.92,549718
2001,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",713491,3589,1.09,777945
2002,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",690840,3763,1.1,761737
2003,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1225722,4382,1.04,1271583
2004,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1353870,4612,0.96,1304986
2005,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1125838,4272,1.03,1158959
2006,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1026648,3588,0.93,956921
2007,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",892974,3656,1.02,908844
2008,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",421214,2762,1.27,533863
